2025-11-09T10:35:01+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 230.0V | AC_I: 32.0A | T_conn: 25.0C | dTdt: 0.0C/min | Event: StartTransaction
2025-11-09T10:43:31+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:44:01+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:44:31+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:45:01+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:45:31+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:46:01+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:46:31+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:47:01+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:47:31+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:48:01+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:48:31+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:49:01+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:49:31+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:50:01+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:50:31+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:51:01+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:51:31+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:52:01+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:52:31+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:53:01+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:53:31+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:54:01+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:54:31+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: PeriodicStatus
2025-11-09T10:55:01+00:00Z | StationID: ST-123 | UserID: U-987 | Conn: 1 | AC_V: 229.4V | AC_I: 32.0A | T_conn: 26.4C | dTdt: 0.0C/min | Event: StopTransaction reason=Normal
